cross_1,cross,gen,mom_pop,ID,mom_ID,mom_fam,mom_sp,mom_heat,dad_pop,dad_ID,dad_sp,dad_E,tot_seeds,num_nodes,infl_length,self,intrapop,interpop,interhyb,intrahyb,hyb,cross_type,cross_type_new,outcross,wave,count_germ,count_survive,count_viabl,count_immuno,count_slide,mom_E_status,count_num_germ_assay,count_num_assay,prop_germ,count_E_plus,g_ma_trans,trans,mean_dist,dist_new,mom_endo_chemo_1,mom_endo_chemo_2,dad_endo_chemo_1,dad_endo_chemo_2,chemo_same
1,1,f1,PALM,9263,PALM9263,PALM26,EV,0,DAVIS,2101,EC,1,9,6,2.5,0,0,0,1,0,1,hyb,interhyb,1,1,4,3,4,3,5,1,7,7,0.571428571,7,1,1,11.75,0.405172414,2,2,4,4,1
1,1_1,f2,PALM,9263,PALM9263,PALM26,EV,0,DAVIS,2101,EC,1,0,9.25,4,0,0,0,1,0,1,hyb,interhyb,1,1,4,3,4,0,0,1,4,0,NA,0,1,0,11.75,0.405172414,2,2,4,4,1
1,1_2,f2,PALM,9263,PALM9263,PALM26,EV,0,DAVIS,2101,EC,1,0,7.75,3.525,0,0,0,1,0,1,hyb,interhyb,1,1,NA,NA,NA,0,0,1,NA,0,NA,0,1,0,11.75,0.405172414,2,2,4,4,1
1,1_4,f2,PALM,9263,PALM9263,PALM26,EV,0,DAVIS,2101,EC,1,50,6.75,2.85,0,0,0,1,0,1,hyb,interhyb,1,1,NA,NA,NA,19,0,1,NA,19,NA,19,1,1,11.75,0.405172414,2,2,4,4,1
2,2,f1,PALM,9261,PALM9261,PALM26,EV,0,LLAN,6421,EC,0,11,6,2.7,0,0,0,1,0,1,hyb,interhyb,1,1,11,9,11,7,2,1,11,9,1,9,1,1,8,0.275862069,2,2,4,4,1
4,4,f1,FALL,7211,FALL7211,FALL21,EV,0,PALM,9261,EV,0,15,5,3,0,0,1,0,0,0,inter,interpop,1,1,4,3,4,3,11,1,14,14,0.285714286,11,1,0.785714286,9,0.310344828,2,2,2,2,0
4,4_2,f2,FALL,7211,FALL7211,FALL21,EV,0,PALM,9261,EV,0,55,9.5,4.2,0,0,1,0,0,0,inter,interpop,1,NA,NA,NA,NA,30,0,1,NA,30,NA,30,0.785714286,1,9,0.310344828,2,2,2,2,0
4,4_4,f2,FALL,7211,FALL7211,FALL21,EV,0,PALM,9261,EV,0,14,10.75,5.075,0,0,1,0,0,0,inter,interpop,1,NA,NA,NA,NA,14,0,1,NA,14,NA,14,0.785714286,1,9,0.310344828,2,2,2,2,0
6,6,f1,FALL,7212,FALL7212,FALL21,EV,0,LLAN,42,EC,0,3,7,4.5,0,0,0,1,0,1,hyb,interhyb,1,1,1,0,1,0,2,1,1,1,1,0,1,0,11.5,0.396551724,2,2,4,4,1
7,7,f1,FALL,7212,FALL7212,FALL21,EV,0,LLAN,6341,EC,0,7,7,5,0,0,0,1,0,1,hyb,interhyb,1,1,1,1,1,0,7,1,6,6,0.166666667,2,1,0.333333333,16,0.551724138,2,2,4,4,1
