cross_1,cross,gen,mom_pop,ID,mom_ID,mom_fam,mom_sp,mom_heat,dad_pop,dad_ID,dad_sp,dad_E,tot_seeds,num_nodes,infl_length,self,intrapop,interpop,interhyb,intrahyb,hyb,cross_type,cross_type_new,count_germ,count_survive,count_viabl,count_immuno,count_slide,mom_E_status,count_num_germ_assay,count_num_assay,prop_germ,count_E_plus,g_ma_trans,trans,mean_dist,dist_new,mom_endo_chemo_1,mom_endo_chemo_2,dad_endo_chemo_1,dad_endo_chemo_2,chemo_same,Rep_Till_Num_16,unbag_count,
39,39,f1,FALL,7202,FALL7202,FALL20,EV,0,KEY,4201,EV,0,5,7,3.5,0,0,1,0,0,0,inter,interpop,3,3,3,2,3,0,4,4,0.75,0,0.2,0,8.5,0.293103448,NA,NA,2,1,1,NA,NA,
224,224,f1,NEFF,8132,NEFF8132,NEFF13,EV,0,PALM,9342,EV,0,9,9,3.8,0,0,1,0,0,0,inter,interpop,6,6,6,1,10,1,7,7,0.857142857,1,1,0.142857143,8.5,0.293103448,NA,NA,2,2,1,NA,NA,
226,226,f1,TEX,14322,TEX14322,TEX32,EV,0,DAVIS,2281,EC,0,12,9,2.5,0,0,0,0,0,1,hyb,interhyb,3,3,3,3,10,1,10,10,0.3,3,0.55,0.3,11.5,0.396551724,NA,NA,5,5,1,NA,NA,
177,177,f1,LLAN,666,LLAN666,LLAN6,EV,0,LLAN,6421,EC,1,21,8,3.6,0,0,0,0,1,1,hyb,intrahyb,3,3,1,0,10,1,10,10,0.3,4,1,0.4,12,0.413793103,1,1,4,4,1,NA,NA,
126,126,f1,SANAN,10163,SANAN10163,SANAN16,EV,1,PALM,991,EV,0,16,12,5.2,0,0,1,0,0,0,inter,interpop,4,3,0,1,11,1,10,10,0.4,5,1,0.5,9,0.310344828,2,2,2,2,0,NA,NA,
167,167,f1,SANAN,10165,SANAN10165,SANAN16,EV,1,KEY,4201,EV,0,14,10,4.9,0,0,1,0,0,0,inter,interpop,2,0,1,0,12,1,10,10,0.2,5,1,0.5,3,0.103448276,2,2,2,1,0,NA,NA,
119,119,f1,SANAN,10481,SANAN10481,SANAN48,EV,0,PALM,9227,EV,1,12,12,5.5,0,0,1,0,0,0,inter,interpop,2,2,0,0,9,1,8,8,0.25,5,0.31,0.625,7.5,0.25862069,2,2,2,2,0,NA,NA,
105,105,f1,PALM,9227,PALM9227,PALM22,EV,1,FALL,741,EV,0,19,9,5.4,0,0,1,0,0,0,inter,interpop,7,4,0,1,14,1,14,14,0.5,9,1,0.642857143,13.5,0.465517241,2,2,1,1,1,NA,NA,
181,181,f1,SANAN,1072,SANAN1072,SANAN7,EV,0,LLAN,6487,EC,1,NA,NA,NA,0,0,0,1,0,1,hyb,interhyb,8,6,16,0,1,1,14,14,0.571428571,9,1,0.642857143,8.5,0.293103448,2,2,2,2,0,NA,NA,
176,176,f1,SANAN,10486,SANAN10486,SANAN48,EV,0,DAVIS,2382,EC,0,14,13,3.8,0,0,0,1,0,1,hyb,interhyb,9,9,1,0,10,1,10,10,0.9,7,0.31,0.7,12,0.413793103,2,2,5,5,1,NA,NA,
4,4,f1,FALL,7211,FALL7211,FALL21,EV,0,PALM,9261,EV,0,15,5,3,0,0,1,0,0,0,inter,interpop,4,3,4,3,11,1,14,14,0.285714286,11,1,0.785714286,9,0.310344828,2,2,2,2,0,NA,NA,
109,109,f1,PALM,9264,PALM9264,PALM26,EV,1,PALM,9227,EV,1,13,14,8,0,1,0,0,0,0,intra,intrapop,2,2,0,0,10,1,10,10,0.2,8,1,0.8,5.5,0.189655172,2,2,2,2,0,NA,NA,
22,22,f1,NEFF,8172,NEFF8172,NEFF17,EV,0,PALM,9225,EV,1,21,9,3.5,0,0,1,0,0,0,inter,interpop,14,12,14,6,14,1,18,18,0.777777778,15,0.6,0.833333333,3.5,0.120689655,1,1,2,2,1,NA,NA,
118,118,f1,SANAN,10481,SANAN10481,SANAN48,EV,0,SANAN,10402,EV,1,8,11,5.1,0,1,0,0,0,0,intra,intrapop,4,3,0,1,8,1,7,7,0.571428571,6,0.31,0.857142857,6.5,0.224137931,2,2,1,1,1,NA,NA,
159,159,f1,SANAN,10164,SANAN10164,SANAN16,EV,0,SANAN,10485,EV,0,11,13,5.8,0,1,0,0,0,0,intra,intrapop,7,3,0,0,10,1,7,7,1,6,1,0.857142857,7,0.24137931,2,2,2,2,0,NA,NA,
111,111,f1,PALM,9221,PALM9221,PALM22,EV,0,SANAN,10161,EV,0,9,8,4,0,0,1,0,0,0,inter,interpop,3,2,0,0,9,1,8,8,0.375,7,1,0.875,13.5,0.465517241,2,2,2,2,0,NA,NA,
190,190,f1,LLAN,6486,LLAN6486,LLAN48,EV,0,SANAN,10485,EV,0,9,10,3.4,0,0,1,0,0,0,inter,interpop,4,3,0,1,9,1,8,8,0.5,7,1,0.875,6.5,0.224137931,2,2,2,2,0,NA,NA,
175,175,f1,SANAN,10486,SANAN10486,SANAN48,EV,0,SANAN,10165,EV,0,13,11,4.3,0,1,0,0,0,0,intra,intrapop,4,4,1,4,6,1,10,10,0.4,9,0.31,0.9,7,0.24137931,2,2,2,2,0,NA,NA,
24,24,f1,FALL,7214,FALL7214,FALL21,EV,0,LLAN,6261,EV,1,11,6,3.2,0,0,0,0,0,1,inter,interpop,6,6,6,2,9,1,11,11,0.545454545,10,1,0.909090909,10,0.344827586,2,2,2,2,0,NA,NA,
33,33,f1,NEFF,8172,NEFF8172,NEFF17,EV,0,FALL,7214,EV,1,29,10,4.7,0,0,1,0,0,0,inter,interpop,22,22,22,9,20,1,29,29,0.75862069,27,1,0.931034483,7,0.24137931,1,1,2,NA,NA,NA,NA,
11,11,f1,NEFF,8172,NEFF8172,NEFF17,EV,0,LLAN,42,EC,0,23,7,3.7,0,0,0,1,0,1,hyb,interhyb,18,17,18,10,12,1,21,21,0.857142857,20,0.6,0.952380952,10,0.344827586,1,1,4,4,1,NA,NA,
1,1,f1,PALM,9263,PALM9263,PALM26,EV,0,DAVIS,2101,EC,1,9,6,2.5,0,0,0,1,0,1,hyb,interhyb,4,3,4,3,5,1,7,7,0.571428571,7,1,1,11.75,0.405172414,2,2,4,4,1,NA,NA,
19,19,f1,FALL,7141,FALL7141,FALL14,EV,0,LLAN,6341,EC,0,8,5,1.7,0,0,0,1,0,1,hyb,interhyb,5,5,5,2,6,1,8,8,0.625,8,1,1,16,0.551724138,1,1,4,4,1,NA,NA,
21,21,f1,FALL,7213,FALL7213,FALL21,EV,0,PALM,9225,EV,1,16,7,3.2,0,0,1,0,0,0,inter,interpop,12,12,12,5,11,1,14,14,0.857142857,14,1,1,8.5,0.293103448,2,2,2,2,0,NA,NA,
